Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,CCAFS,,,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0[7]B0003.1[8],Failure[9][10](parachute),,
2,,CCAFS,,,LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.0[7]B0004.1[8],Failure[9][14](parachute),,
3,,CCAFS,,"525 kg (1,157 lb)[19]",LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.0[7]B0005.1[8],No attempt,,
4,,CCAFS,,"4,700 kg (10,400 lb)",LEO,NASA,,,,,,,,,,SpaceX CRS-1,"Success
",F9 v1.0[7]B0006.1[8],No attempt,,
5,,CCAFS,,"4,877 kg (10,752 lb)",LEO,NASA,,,,,,,,,,SpaceX CRS-2,"Success
",F9 v1.0[7]B0007.1[8],No attempt,,
6,,VAFB,,"500 kg (1,100 lb)",Polar orbit,MDA,,,,,,,,,,CASSIOPE,Success,F9 v1.1[7]B1003[8],Uncontrolled(ocean)[d],,
7,,CCAFS,,"3,170 kg (6,990 lb)",GTO,SES,,,,,,,,,,SES-8,Success,F9 v1.1B1004,No attempt[38],,
8,,CCAFS,,"3,325 kg (7,330 lb)",GTO,Thaicom,,,,,,,,,,Thaicom 6,Success,F9 v1.1,No attempt[43],,
9,,Cape Canaveral,,"2,296 kg (5,062 lb)[45]",LEO,NASA,,,,,,,,,,SpaceX CRS-3,"Success
",F9 v1.1,Controlled(ocean) [d][46],,
10,,Cape Canaveral,,"1,316 kg (2,901 lb)",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,Controlled(ocean)[d][46],,
11,,Cape Canaveral,,"4,535 kg (9,998 lb)",GTO,AsiaSat,,,,,,,,,,AsiaSat 8,Success,F9 v1.1,No attempt[57],,
12,,Cape Canaveral,,"4,428 kg (9,762 lb)",GTO,AsiaSat,,,,,,,,,,AsiaSat 6,Success,F9 v1.1B1011[8],No attempt,,
13,,Cape Canaveral,,"2,216 kg (4,885 lb)[62]",LEO,NASA,,,,,,,,,,SpaceX CRS-4,Success,F9 v1.1B1010[8],Uncontrolled(ocean)[d][64],,
14,,Cape Canaveral,,"2,395 kg (5,280 lb)[69]",LEO,NASA,,,,,,,,,,SpaceX CRS-5,Success,F9 v1.1B1012[8],Failure (drone ship),,
15,,Cape Canaveral,,"570 kg (1,260 lb)",HEO,USAF,,,,,,,,,,DSCOVR,"Success
",F9 v1.1B1013[8],Controlled(ocean)[d],,
16,,Cape Canaveral,,"4,159 kg (9,169 lb)",GTO,ABS,,,,,,,,,,ABS-3A,"Success
",F9 v1.1B1014[8],No attempt[77],,
17,,Cape Canaveral,,"1,898 kg (4,184 lb)[82]",LEO,NASA,,,,,,,,,,SpaceX CRS-6,"Success
",F9 v1.1B1015[8],Failure[83](drone ship),,
18,,Cape Canaveral,,"4,707 kg (10,377 lb)",GTO,,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",F9 v1.1B1016[8],No attempt[89],,
19,,Cape Canaveral,,"1,952 kg (4,303 lb)[92]",LEO,NASA,,,,,,,,,,SpaceX CRS-7,Failure,F9 v1.1B1018[8],Precluded[94](drone ship),,
20,,Cape Canaveral,,"2,034 kg (4,484 lb)",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,"Success
",F9 FTB1019.1[98],Success[99](ground pad),,
21,,VAFB,,"553 kg (1,219 lb)",LEO,NASA,,,,,,,,,,Jason-3,"Success
",F9 v1.1B1017[8],Failure(drone ship),,
22,,Cape Canaveral,,"5,271 kg (11,621 lb)",GTO,SES,,,,,,,,,,SES-9,"Success
",F9 FTB1020.1[108],Failure(drone ship),,
23,,Cape Canaveral,,"3,136 kg (6,914 lb)[116]",LEO,NASA,,,,,,,,,,SpaceX CRS-8,Success,F9 FTB1021.1[115],Success[118](drone ship),,
24,,Cape Canaveral,,"4,696 kg (10,353 lb)[124]",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-14,"Success
",F9 FTB1022.1[122],Success(drone ship),,
25,,Cape Canaveral,,"3,100 kg (6,800 lb)[132]",GTO,Thaicom,,,,,,,,,,Thaicom 8,"Success
",F9 FTB1023.1[129],Success[133](drone ship),,
26,,Cape Canaveral,,"3,600 kg (7,900 lb)",GTO,ABS,,,,,,,,,,ABS-2A,"Success
",F9 FTB1024.1[108],Failure[64](drone ship),,
27,,Cape Canaveral,,"2,257 kg (4,976 lb)[142]",LEO,NASA,,,,,,,,,,SpaceX CRS-9,"Success
",F9 FTB1025.1[129],Success(ground pad),,
28,,Cape Canaveral,,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-16,"Success
",F9 FTB1026.1[108],Success(drone ship),,
29,,VAFB,,"9,600 kg (21,200 lb)",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",F9 FTB1029.1[151],Success[154](drone ship),,
30,,KSC,,"2,490 kg (5,490 lb)[160]",LEO,NASA,,,,,,,,,,SpaceX CRS-10,"Success
",F9 FTB1031.1[8],Success(ground pad),,
31,,KSC,,"5,600 kg (12,300 lb)[164]",GTO,EchoStar,,,,,,,,,,EchoStar 23,"Success
",F9 FTB1030.1[163],No attempt[165],,
32,,KSC,,"5,300 kg (11,700 lb)[169]",GTO,SES,,,,,,,,,,SES-10,Success,F9 FT ♺B1021.2[115],Success(drone ship),,
33,,KSC,,Classified,LEO,NRO,,,,,,,,,,NROL-76,"Success
",F9 FTB1032.1[129],Success(ground pad),,
34,,KSC,,"6,070 kg (13,380 lb)[181]",GTO,Inmarsat,,,,,,,,,,Inmarsat-5 F4,"Success
",F9 FTB1034.1[179],No attempt[165],,
35,,KSC,,"2,708 kg (5,970 lb)[186]",LEO,NASA,,,,,,,,,,SpaceX CRS-11,"Success
",F9 FTB1035.1[185],Success(ground pad),,
36,,KSC,,"3,669 kg (8,089 lb)[197]",GTO,Bulsatcom,,,,,,,,,,BulgariaSat-1,"Success
",F9 FT ♺ B1029.2[195],Success(drone ship),,
37,,VAFB,,"9,600 kg (21,200 lb)",LEO,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",F9 FTB1036.1[198],Success(drone ship),,
38,,KSC,,"6,761 kg (14,905 lb)[202]",GTO,Intelsat,,,,,,,,,,Intelsat 35e,"Success
",F9 FTB1037.1[200],No attempt[165],,
39,,KSC,,"3,310 kg (7,300 lb)",LEO,NASA,,,,,,,,,,SpaceX CRS-12,"Success
",F9 B4B1039.1[207],Success(ground pad),,
40,,VAFB,,"475 kg (1,047 lb)[212]",SSO,NSPO,,,,,,,,,,Formosat-5,"Success
",F9 FTB1038.1[209],Success(drone ship),,
41,,KSC,,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,USAF,,,,,,,,,,Boeing X-37B,"Success
",F9 B4B1040.1[108],Success(ground pad),,
42,,VAFB,,"9,600 kg (21,200 lb)",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",F9 B4B1041.1[219],Success(drone ship),,
43,,KSC,,"5,200 kg (11,500 lb)",GTO,SES S.A.,,,,,,,,,,SES-11,"Success
",F9 FT ♺ B1031.2[220],Success(drone ship),,
44,,KSC,,"3,500 kg (7,700 lb)",GTO,KT Corporation,,,,,,,,,,Koreasat 5A,"Success
",F9 B4B1042.1[219],Success(drone ship),,
45,,Cape Canaveral,,"2,205 kg (4,861 lb)",LEO,NASA,,,,,,,,,,SpaceX CRS-13,"Success
",F9 FT ♺ B1035.2[227],Success(ground pad),,
46,,VAFB,,"9,600 kg (21,200 lb)",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 FT ♺ B1036.2[227],Controlled(ocean)[d][230],,
47,,CCAFS,,Classified,LEO,Northrop Grumman,,,,,,,,,,Zuma,Success,F9 B4B1043.1[238],Success(ground pad),,
48,,CCAFS,,"4,230 kg (9,330 lb)[247]",GTO,SES,,,,,,,,,,GovSat-1,Success,F9 FT ♺ B1032.2[245],Controlled(ocean)[d][248],,
49,,VAFB,,"2,150 kg (4,740 lb)",SSO,Hisdesat,,,,,,,,,,Paz,Success,F9 FT ♺B1038.2[268],No attempt[271],,
50,,CCAFS,,"6,092 kg (13,431 lb)[279]",GTO,Hispasat,,,,,,,,,,Hispasat 30W-6,Success,F9 B4B1044.1[108],No attempt[281],,
51,,VAFB,,"9,600 kg (21,200 lb)",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 B4 ♺B1041.2[268],No attempt[287],,
52,,CCAFS,,"2,647 kg (5,836 lb)[292]",LEO,NASA,,,,,,,,,,SpaceX CRS-14,Success,F9 B4 ♺B1039.2[292],No attempt[294],,
53,,CCAFS,,362 kg (798 lb)[305],HEO,NASA,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,F9 B4B1045.1[268],Success[306](drone ship),,
54,,KSC,,"3,600 kg (7,900 lb)[314]",GTO,Thales-Alenia,,,,,,,,,,Bangabandhu-1,Success,F9 B5[311]B1046.1[268],Success[315](drone ship),,
55,,VAFB,,"6,460 kg (14,240 lb)[g]",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 B4 ♺B1043.2[322],No attempt[165],,
56,,CCAFS,,"5,384 kg (11,870 lb)[332]",GTO,SES,,,,,,,,,,SES-12,Success,F9 B4 ♺B1040.2[268],No attempt[165],,
57,,CCAFS,,"2,697 kg (5,946 lb)[337]",LEO,NASA,,,,,,,,,,SpaceX CRS-15,Success,F9 B4 ♺B1045.2[336],No attempt[165],,
58,,CCAFS,,"7,075 kg (15,598 lb)[342]",GTO,Telesat,,,,,,,,,,Telstar 19V,Success,F9 B5B1047.1,Success[344](drone ship),,
59,,VAFB,,"9,600 kg (21,200 lb)",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 B5[349]B1048.1[350],Success[352](drone ship),,
60,,CCAFS,,"5,800 kg (12,800 lb)[357]",GTO,Telkom Indonesia,,,,,,,,,,Merah Putih,Success,F9 B5 ♺ B1046.2[354],Success[358](drone ship),,
61,,CCAFS,,"7,060 kg (15,560 lb)[361]",GTO,Telesat,,,,,,,,,,Telstar 18V,Success,F9 B5B1049.1[268],Success[361](drone ship),,
62,,VAFB,,"3,000 kg (6,600 lb)[363]",SSO,CONAE,,,,,,,,,,SAOCOM 1A,Success,F9 B5 ♺B1048.2[364],Success[363](ground pad),,
63,,KSC,,"5,300 kg (11,700 lb)[369]",GTO,Es'hailSat,,,,,,,,,,Es'hail 2,Success,F9 B5 ♺B1047.2[268],Success[370](drone ship),,
64,,VAFB,,"~4,000 kg (8,800 lb)[372]",SSO,Spaceflight Industries,,,,,,,,,,SSO-A,Success,F9 B5 ♺ B1046.3[268]SHERPA,Success[373](drone ship),,
65,,CCAFS,,"2,500 kg (5,500 lb)[382]",LEO,NASA,,,,,,,,,,SpaceX CRS-16,"Success
",F9 B5B1050[268],Failure[383](ground pad),,
66,,CCAFS,,"4,400 kg (9,700 lb)[388]",MEO,USAF,,,,,,,,,,GPS III,Success,F9 B5B1054[387],No attempt[386],,
67,,VAFB,,"9,600 kg (21,200 lb)",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",F9 B5 ♺B1049.2[397],Success(drone ship),,
68,,CCAFS,,"4,850 kg (10,690 lb)[403]",GTO,PSN,,,,,,,,,,Nusantara Satu,"Success
",F9 B5 ♺B1048.3[399],Success(drone ship),,
69,,KSC,,"12,055 kg (26,577 lb)[415][h]",LEO,NASA,,,,,,,,,,Crew Dragon Demo-1,"Success
",F9 B5B1051.1[268][413],Success(drone ship),,
70,,CCAFS,,"2,495 kg (5,501 lb)[432]",LEO,NASA,,,,,,,,,,SpaceX CRS-17,"Success
",F9 B5B1056.1[420],Success(drone ship),,
71,,CCAFS,,"13,620 kg (30,030 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.3[434],Success(drone ship),,
72,,VAFB,,"4,200 kg (9,300 lb)[443]",SSO,Canadian Space Agency,,,,,,,,,,RADARSAT Constellation,"Success
",F9 B5 ♺B1051.2[420],Success(ground pad),,
73,,CCAFS,,"2,268 kg (5,000 lb)[464]",LEO,NASA,,,,,,,,,,SpaceX CRS-18,"Success
",F9 B5 ♺B1056.2[465],Success(ground pad),,
74,,CCAFS,,"6,500 kg (14,300 lb)[474]",GTO,Spacecom,,,,,,,,,,AMOS-17,"Success
",F9 B5 ♺B1047.3[472],No attempt[474],,
75,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1048.4,Success(drone ship),,
76,,CCAFS,,"2,617 kg (5,769 lb)",LEO,NASA,,,,,,,,,,SpaceX CRS-19,"Success
",F9 B5B1059.1[482],Success(drone ship),,
77,,CCAFS,,"6,956 kg (15,335 lb)[486]",GTO,Sky Perfect JSAT,,,,,,,,,,JCSat-18,"Success
",F9 B5 ♺B1056.3[482],Success(drone ship),,
78,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺ B1049.4,Success(drone ship),,
79,,KSC,,"12,050 kg (26,570 lb)",Sub-orbital,NASA,,,,,,,,,,Crew Dragon in-flight abort test,"Success
",F9 B5 ♺ B1046.4,No attempt,,
80,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.3,Success(drone ship),,
81,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1056.4,Failure(drone ship),,
82,,CCAFS,,"1,977 kg (4,359 lb)[507]",LEO,NASA,,,,,,,,,,SpaceX CRS-20,"Success
",F9 B5 ♺B1059.2,Success(ground pad),,
83,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺ B1048.5,Failure(drone ship),,
84,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.4,Success(drone ship),,
85,,KSC,,"12,530 kg (27,620 lb)[519]",LEO,NASA,,,,,,,,,,Crew Dragon Demo-2,"Success
",F9 B5B1058.1[518],Success(drone ship),,
86,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.5,Success(drone ship),,
87,,CCAFS,,"15,410 kg (33,970 lb)[523]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1059.3,Success(drone ship),,
88,,CCAFS,,"4,311 kg (9,504 lb)[530]",MEO,U.S. Space Force,,,,,,,,,,GPS III,"Success
",F9 B5B1060.1,Success(drone ship),,
89,,CCAFS,,"5,000–6,000 kg (11,000–13,000 lb)",GTO,Republic of Korea Army,,,,,,,,,,ANASIS-II,"Success
",F9 B5 ♺ B1058.2[544],Success(drone ship),,
90,,KSC,,"14,932 kg (32,919 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.5,Success(drone ship),,
91,,CCAFS,,"~15,440 kg (34,040 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.6[544],Success(drone ship),,
92,,CCAFS,,"3,130 kg (6,900 lb)[558]",SSO,CONAE,,,,,,,,,,SAOCOM 1B,"Success
",F9 B5 ♺B1059.4,Success(ground pad),,
93,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.2[563],Success(drone ship),,
94,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.3[565],Success(drone ship),,
95,,KSC,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.6[568],Success(drone ship),,
96,,CCAFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.3,Success(drone ship),,
97,,CCAFS,,"4,311 kg (9,504 lb)",MEO,USSF,,,,,,,,,,GPS III,"Success
",F9 B5B1062.1,Success(drone ship),,
98,,KSC,,"~12,500 kg (27,600 lb)",LEO,NASA,,,,,,,,,,Crew-1,"Success
",F9 B5B1061.1[582],Success(drone ship),,
99,,VAFB,,"1,192 kg (2,628 lb)",LEO,NASA,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5B1063.1,Success(ground pad),,
100,,CCAFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.7[590],Success(drone ship),,
101,,KSC,,"2,972 kg (6,552 lb)",LEO,NASA,,,,,,,,,,SpaceX CRS-21,"Success
",F9 B5 ♺B1058.4[592],Success(drone ship),,
102,,CCSFS,,"7,000 kg (15,000 lb)",GTO,Sirius XM,,,,,,,,,,SXM-7,"Success
",F9 B5 ♺B1051.7,Success(drone ship),,
103,,KSC,,Classified,LEO,NRO,,,,,,,,,,NROL-108,"Success
",F9 B5 ♺B1059.5,Success(ground pad),,
104,,CCSFS,,"3,500 kg (7,700 lb)",GTO,Türksat,,,,,,,,,,Türksat 5A,"Success
",F9 B5 ♺B1060.4,Success(drone ship),,
105,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.8[609],Success(drone ship),,
106,,CCSFS,,"~5,000 kg (11,000 lb)",SSO,SpaceX,,,,,,,,,,Transporter-1,"Success
",F9 B5 ♺B1058.5[613],Success(drone ship),,
107,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.5[624],Success(drone ship),,
108,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1059.6,Failure (drone ship),,
109,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.8[634],Success(drone ship),,
110,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.6[638],Success(drone ship),,
111,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.9,Success(drone ship),,
112,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.6[643],Success(drone ship),,
113,,CCSFS,,"15,600 kg (34,400 lb)",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.7,Success(drone ship),,
114,,KSC,,"~13,000 kg (29,000 lb)[648]",LEO,SpaceX,,,,,,,,,,Crew-2,"Success
",F9 B5 ♺B1061.2[647],Success(drone ship),,
115,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1060.7[652],Success(drone ship),,
116,,KSC,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1049.9[655],Success(drone ship),,
117,,CCSFS,,"15,600 kg (34,400 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1051.10[657],Success(drone ship),,
118,,KSC,,"~14,000 kg (31,000 lb)",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺B1058.8[660],Success(drone ship),,
